"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 15 13:51:02 UTC 2026","Fri May 15 13:51:02 UTC 2026","1","PetStore API Test Suite","Store - Get Inventory Tests","petstore.store.GetInventoryTests","petstore.store.GetInventoryTests","Store_Get_Inventory_Success_VerifyResponseStructure","Store_Get_Inventory_Success_VerifyResponseStructure",""
"passed","Fri May 15 13:50:55 UTC 2026","Fri May 15 13:50:55 UTC 2026","367","PetStore API Test Suite","Pet - Add Pet Tests","petstore.pet.PostAddPetTests","petstore.pet.PostAddPetTests","Pet_Post_AddPet_Success_SpecialCharactersName","Pet_Post_AddPet_Success_SpecialCharactersName",""
"failed","Fri May 15 13:51:09 UTC 2026","Fri May 15 13:51:09 UTC 2026","363","PetStore API Test Suite","User - Create Users With List Tests","petstore.user.PostCreateUsersWithListTests","petstore.user.PostCreateUsersWithListTests","User_Post_CreateUsersWithList_BadRequest_ListWithInvalidUser","User_Post_CreateUsersWithList_BadRequest_ListWithInvalidUser",""
"passed","Fri May 15 13:51:01 UTC 2026","Fri May 15 13:51:01 UTC 2026","595","PetStore API Test Suite","Pet - Upload Image Tests","petstore.pet.UploadImageTests","petstore.pet.UploadImageTests","Pet_POST_UploadImage_Success","Pet_POST_UploadImage_Success",""
"passed","Fri May 15 13:50:57 UTC 2026","Fri May 15 13:50:58 UTC 2026","1131","PetStore API Test Suite","Pet - Get Pet By ID Tests","petstore.pet.GetPetByIdTests","petstore.pet.GetPetByIdTests","Pet_Get_GetPetById_NotFound_NonExistentId","Pet_Get_GetPetById_NotFound_NonExistentId",""
"passed","Fri May 15 13:51:11 UTC 2026","Fri May 15 13:51:12 UTC 2026","709","PetStore API Test Suite","User - Delete User Tests","petstore.user.DeleteUserTests","petstore.user.DeleteUserTests","User_Delete_User_Success_ExistingUser","User_Delete_User_Success_ExistingUser",""
"failed","Fri May 15 13:50:51 UTC 2026","Fri May 15 13:50:52 UTC 2026","780","PetStore API Test Suite","Pet - Update Pet Tests","petstore.pet.PutUpdatePetTests","petstore.pet.PutUpdatePetTests","Pet_Put_UpdatePet_MethodNotAllowed_InvalidStatus","Pet_Put_UpdatePet_MethodNotAllowed_InvalidStatus",""
"passed","Fri May 15 13:51:06 UTC 2026","Fri May 15 13:51:07 UTC 2026","396","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_Success_DeliveredStatus","Store_Post_PlaceOrder_Success_DeliveredStatus",""
"failed","Fri May 15 13:51:05 UTC 2026","Fri May 15 13:51:05 UTC 2026","365","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_BadRequest_MissingQuantity","Store_Post_PlaceOrder_BadRequest_MissingQuantity",""
"passed","Fri May 15 13:50:52 UTC 2026","Fri May 15 13:50:52 UTC 2026","384","PetStore API Test Suite","Pet - Add Pet Tests","petstore.pet.PostAddPetTests","petstore.pet.PostAddPetTests","Pet_Post_AddPet_Success_AllFields","Pet_Post_AddPet_Success_AllFields",""
"passed","Fri May 15 13:51:13 UTC 2026","Fri May 15 13:51:15 UTC 2026","1407","PetStore API Test Suite","Workflows - Complete CRUD Workflow Tests","petstore.workflows.CompleteCRUDWorkflowTests","petstore.workflows.CompleteCRUDWorkflowTests","Workflow_Pet_CompleteCRUD_Success","Workflow_Pet_CompleteCRUD_Success",""
"passed","Fri May 15 13:50:59 UTC 2026","Fri May 15 13:51:00 UTC 2026","1065","PetStore API Test Suite","Pet - Delete Pet Tests","petstore.pet.DeletePetTests","petstore.pet.DeletePetTests","Pet_Delete_Pet_NotFound_NonExistentId","Pet_Delete_Pet_NotFound_NonExistentId",""
"passed","Fri May 15 13:51:00 UTC 2026","Fri May 15 13:51:00 UTC 2026","733","PetStore API Test Suite","Pet - Delete Pet Tests","petstore.pet.DeletePetTests","petstore.pet.DeletePetTests","Pet_Delete_Pet_Success_ValidExistingId","Pet_Delete_Pet_Success_ValidExistingId",""
"passed","Fri May 15 13:50:55 UTC 2026","Fri May 15 13:50:56 UTC 2026","776","PetStore API Test Suite","Pet - Update Pet Tests","petstore.pet.PutUpdatePetTests","petstore.pet.PutUpdatePetTests","Pet_Put_UpdatePet_Success_PartialStatusUpdate","Pet_Put_UpdatePet_Success_PartialStatusUpdate",""
"passed","Fri May 15 13:50:57 UTC 2026","Fri May 15 13:50:58 UTC 2026","1089","PetStore API Test Suite","Pet - Update Pet With Form Tests","petstore.pet.PostUpdatePetWithFormTests","petstore.pet.PostUpdatePetWithFormTests","Pet_Post_UpdatePetWithForm_NotFound_NonExistentId","Pet_Post_UpdatePetWithForm_NotFound_NonExistentId",""
"passed","Fri May 15 13:50:54 UTC 2026","Fri May 15 13:50:56 UTC 2026","1681","PetStore API Test Suite","Pet - Find Pets By Status Tests","petstore.pet.GetFindPetsByStatusTests","petstore.pet.GetFindPetsByStatusTests","Pet_Get_FindPetsByStatus_Success_MultipleValidStatuses","Pet_Get_FindPetsByStatus_Success_MultipleValidStatuses",""
"passed","Fri May 15 13:51:12 UTC 2026","Fri May 15 13:51:13 UTC 2026","748","PetStore API Test Suite","User - Update User Tests","petstore.user.PutUpdateUserTests","petstore.user.PutUpdateUserTests","User_Put_UpdateUser_Success_AllFields","User_Put_UpdateUser_Success_AllFields",""
"passed","Fri May 15 13:51:05 UTC 2026","Fri May 15 13:51:06 UTC 2026","735","PetStore API Test Suite","Store - Delete Order Tests","petstore.store.DeleteOrderTests","petstore.store.DeleteOrderTests","Store_Delete_Order_Success_ValidOrderId","Store_Delete_Order_Success_ValidOrderId",""
"failed","Fri May 15 13:51:15 UTC 2026","Fri May 15 13:51:15 UTC 2026","366","PetStore API Test Suite","Workflows - Authorization Workflow Tests","petstore.workflows.AuthorizationWorkflowTests","petstore.workflows.AuthorizationWorkflowTests","Workflow_Authorization_MissingApiKey_Unauthorized","Workflow_Authorization_MissingApiKey_Unauthorized",""
"passed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:08 UTC 2026","333","PetStore API Test Suite","User - Create Users With Array Tests","petstore.user.PostCreateUsersWithArrayTests","petstore.user.PostCreateUsersWithArrayTests","User_Post_CreateUsersWithArray_Success_EmptyArray","User_Post_CreateUsersWithArray_Success_EmptyArray",""
"passed","Fri May 15 13:51:03 UTC 2026","Fri May 15 13:51:03 UTC 2026","365","PetStore API Test Suite","Store - Get Order By ID Tests","petstore.store.GetOrderByIdTests","petstore.store.GetOrderByIdTests","Store_Get_GetOrderById_BadRequest_InvalidFormat","Store_Get_GetOrderById_BadRequest_InvalidFormat",""
"failed","Fri May 15 13:50:51 UTC 2026","Fri May 15 13:50:51 UTC 2026","417","PetStore API Test Suite","Pet - Add Pet Tests","petstore.pet.PostAddPetTests","petstore.pet.PostAddPetTests","Pet_Post_AddPet_BadRequest_InvalidStatus","Pet_Post_AddPet_BadRequest_InvalidStatus",""
"passed","Fri May 15 13:50:53 UTC 2026","Fri May 15 13:50:54 UTC 2026","386","PetStore API Test Suite","Pet - Add Pet Tests","petstore.pet.PostAddPetTests","petstore.pet.PostAddPetTests","Pet_Post_AddPet_Success_MultiplePhotoUrlsAndTags","Pet_Post_AddPet_Success_MultiplePhotoUrlsAndTags",""
"passed","Fri May 15 13:51:04 UTC 2026","Fri May 15 13:51:05 UTC 2026","1094","PetStore API Test Suite","Store - Delete Order Tests","petstore.store.DeleteOrderTests","petstore.store.DeleteOrderTests","Store_Delete_Order_NotFound_NonExistentId","Store_Delete_Order_NotFound_NonExistentId",""
"passed","Fri May 15 13:51:16 UTC 2026","Fri May 15 13:51:17 UTC 2026","355","PetStore API Test Suite","Workflows - Authorization Workflow Tests","petstore.workflows.AuthorizationWorkflowTests","petstore.workflows.AuthorizationWorkflowTests","Workflow_Authorization_ValidApiKey_Success","Workflow_Authorization_ValidApiKey_Success",""
"passed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:07 UTC 2026","368","PetStore API Test Suite","User - Create User Tests","petstore.user.PostCreateUserTests","petstore.user.PostCreateUserTests","User_Post_CreateUser_Success_NullOptionalFields","User_Post_CreateUser_Success_NullOptionalFields",""
"passed","Fri May 15 13:50:56 UTC 2026","Fri May 15 13:50:57 UTC 2026","737","PetStore API Test Suite","Pet - Update Pet Tests","petstore.pet.PutUpdatePetTests","petstore.pet.PutUpdatePetTests","Pet_Put_UpdatePet_Success_RequiredFieldsOnly","Pet_Put_UpdatePet_Success_RequiredFieldsOnly",""
"passed","Fri May 15 13:50:51 UTC 2026","Fri May 15 13:50:54 UTC 2026","2776","PetStore API Test Suite","Pet - Find Pets By Status Tests","petstore.pet.GetFindPetsByStatusTests","petstore.pet.GetFindPetsByStatusTests","Pet_Get_FindPetsByStatus_Success_AllStatuses","Pet_Get_FindPetsByStatus_Success_AllStatuses",""
"failed","Fri May 15 13:51:02 UTC 2026","Fri May 15 13:51:02 UTC 2026","365","PetStore API Test Suite","Store - Get Inventory Tests","petstore.store.GetInventoryTests","petstore.store.GetInventoryTests","Store_Get_Inventory_Forbidden_InvalidApiKey","Store_Get_Inventory_Forbidden_InvalidApiKey",""
"failed","Fri May 15 13:50:51 UTC 2026","Fri May 15 13:50:51 UTC 2026","403","PetStore API Test Suite","Pet - Find Pets By Status Tests","petstore.pet.GetFindPetsByStatusTests","petstore.pet.GetFindPetsByStatusTests","Pet_Get_FindPetsByStatus_BadRequest_InvalidStatus","Pet_Get_FindPetsByStatus_BadRequest_InvalidStatus",""
"passed","Fri May 15 13:51:09 UTC 2026","Fri May 15 13:51:10 UTC 2026","708","PetStore API Test Suite","User - Get User By Name Tests","petstore.user.GetUserByNameTests","petstore.user.GetUserByNameTests","User_Get_GetUserByName_Success_ExistingUser","User_Get_GetUserByName_Success_ExistingUser",""
"passed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:07 UTC 2026","341","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_Success_FutureShipDate","Store_Post_PlaceOrder_Success_FutureShipDate",""
"failed","Fri May 15 13:51:11 UTC 2026","Fri May 15 13:51:12 UTC 2026","1025","PetStore API Test Suite","User - Update User Tests","petstore.user.PutUpdateUserTests","petstore.user.PutUpdateUserTests","User_Put_UpdateUser_NotFound_NonExistentUser","User_Put_UpdateUser_NotFound_NonExistentUser",""
"failed","Fri May 15 13:51:11 UTC 2026","Fri May 15 13:51:12 UTC 2026","354","PetStore API Test Suite","User - Login User Tests","petstore.user.GetLoginUserTests","petstore.user.GetLoginUserTests","User_Get_LoginUser_BadRequest_EmptyCredentials","User_Get_LoginUser_BadRequest_EmptyCredentials",""
"passed","Fri May 15 13:51:03 UTC 2026","Fri May 15 13:51:04 UTC 2026","365","PetStore API Test Suite","Store - Delete Order Tests","petstore.store.DeleteOrderTests","petstore.store.DeleteOrderTests","Store_Delete_Order_BadRequest_InvalidFormat","Store_Delete_Order_BadRequest_InvalidFormat",""
"passed","Fri May 15 13:50:57 UTC 2026","Fri May 15 13:50:57 UTC 2026","382","PetStore API Test Suite","Pet - Update Pet With Form Tests","petstore.pet.PostUpdatePetWithFormTests","petstore.pet.PostUpdatePetWithFormTests","Pet_Post_UpdatePetWithForm_BadRequest_InvalidIdFormat","Pet_Post_UpdatePetWithForm_BadRequest_InvalidIdFormat",""
"passed","Fri May 15 13:51:06 UTC 2026","Fri May 15 13:51:06 UTC 2026","363","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_Success_AllFields","Store_Post_PlaceOrder_Success_AllFields",""
"passed","Fri May 15 13:50:56 UTC 2026","Fri May 15 13:50:57 UTC 2026","360","PetStore API Test Suite","Pet - Get Pet By ID Tests","petstore.pet.GetPetByIdTests","petstore.pet.GetPetByIdTests","Pet_Get_GetPetById_BadRequest_ZeroId","Pet_Get_GetPetById_BadRequest_ZeroId",""
