"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 13:51:09 UTC 2026","Fri May 15 13:51:10 UTC 2026","364","PetStore API Test Suite","User - Create Users With List Tests","petstore.user.PostCreateUsersWithListTests","petstore.user.PostCreateUsersWithListTests","User_Post_CreateUsersWithList_Success_EmptyList","User_Post_CreateUsersWithList_Success_EmptyList",""
"failed","Fri May 15 13:51:03 UTC 2026","Fri May 15 13:51:03 UTC 2026","704","PetStore API Test Suite","Pet - Delete Pet Tests","petstore.pet.DeletePetTests","petstore.pet.DeletePetTests","Pet_Delete_Pet_Unauthorized_MissingApiKeyHeader","Pet_Delete_Pet_Unauthorized_MissingApiKeyHeader",""
"passed","Fri May 15 13:50:56 UTC 2026","Fri May 15 13:50:56 UTC 2026","354","PetStore API Test Suite","Pet - Get Pet By ID Tests","petstore.pet.GetPetByIdTests","petstore.pet.GetPetByIdTests","Pet_Get_GetPetById_BadRequest_InvalidIdString","Pet_Get_GetPetById_BadRequest_InvalidIdString",""
"passed","Fri May 15 13:51:16 UTC 2026","Fri May 15 13:51:16 UTC 2026","373","PetStore API Test Suite","Workflows - Authorization Workflow Tests","petstore.workflows.AuthorizationWorkflowTests","petstore.workflows.AuthorizationWorkflowTests","Workflow_Authorization_StoreEndpoints_Unauthorized_WithoutAuth","Workflow_Authorization_StoreEndpoints_Unauthorized_WithoutAuth",""
"passed","Fri May 15 13:51:08 UTC 2026","Fri May 15 13:51:09 UTC 2026","381","PetStore API Test Suite","User - Update User Tests","petstore.user.PutUpdateUserTests","petstore.user.PutUpdateUserTests","User_Put_UpdateUser_BadRequest_EmptyUsername","User_Put_UpdateUser_BadRequest_EmptyUsername",""
"passed","Fri May 15 13:50:53 UTC 2026","Fri May 15 13:50:53 UTC 2026","373","PetStore API Test Suite","Pet - Add Pet Tests","petstore.pet.PostAddPetTests","petstore.pet.PostAddPetTests","Pet_Post_AddPet_Success_LongName","Pet_Post_AddPet_Success_LongName",""
"failed","Fri May 15 13:51:13 UTC 2026","Fri May 15 13:51:14 UTC 2026","361","PetStore API Test Suite","User - Login User Tests","petstore.user.GetLoginUserTests","petstore.user.GetLoginUserTests","User_Get_LoginUser_BadRequest_MissingPassword","User_Get_LoginUser_BadRequest_MissingPassword",""
"passed","Fri May 15 13:50:58 UTC 2026","Fri May 15 13:50:59 UTC 2026","370","PetStore API Test Suite","Pet - Delete Pet Tests","petstore.pet.DeletePetTests","petstore.pet.DeletePetTests","Pet_Delete_Pet_BadRequest_InvalidIdFormat","Pet_Delete_Pet_BadRequest_InvalidIdFormat",""
"passed","Fri May 15 13:51:22 UTC 2026","Fri May 15 13:51:23 UTC 2026","1401","PetStore API Test Suite","Workflows - Data Consistency Workflow Tests","petstore.workflows.DataConsistencyWorkflowTests","petstore.workflows.DataConsistencyWorkflowTests","Workflow_DataConsistency_UpdateUserReferencedInOrders_Success","Workflow_DataConsistency_UpdateUserReferencedInOrders_Success",""
"passed","Fri May 15 13:51:17 UTC 2026","Fri May 15 13:51:18 UTC 2026","1419","PetStore API Test Suite","Workflows - Data Consistency Workflow Tests","petstore.workflows.DataConsistencyWorkflowTests","petstore.workflows.DataConsistencyWorkflowTests","Workflow_DataConsistency_ConcurrentPetOperations_Success","Workflow_DataConsistency_ConcurrentPetOperations_Success",""
"passed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:07 UTC 2026","361","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_Success_PlacedStatus","Store_Post_PlaceOrder_Success_PlacedStatus",""
"failed","Fri May 15 13:51:04 UTC 2026","Fri May 15 13:51:04 UTC 2026","358","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_BadRequest_MissingPetId","Store_Post_PlaceOrder_BadRequest_MissingPetId",""
"failed","Fri May 15 13:51:14 UTC 2026","Fri May 15 13:51:14 UTC 2026","338","PetStore API Test Suite","User - Login User Tests","petstore.user.GetLoginUserTests","petstore.user.GetLoginUserTests","User_Get_LoginUser_BadRequest_MissingUsername","User_Get_LoginUser_BadRequest_MissingUsername",""
"failed","Fri May 15 13:51:05 UTC 2026","Fri May 15 13:51:06 UTC 2026","341","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_BadRequest_NegativeQuantity","Store_Post_PlaceOrder_BadRequest_NegativeQuantity",""
"broken","Fri May 15 13:51:12 UTC 2026","Fri May 15 13:51:13 UTC 2026","359","PetStore API Test Suite","User - Delete User Tests","petstore.user.DeleteUserTests","petstore.user.DeleteUserTests","User_Delete_User_Success_SpecialCharactersUsername","User_Delete_User_Success_SpecialCharactersUsername",""
"passed","Fri May 15 13:51:06 UTC 2026","Fri May 15 13:51:07 UTC 2026","376","PetStore API Test Suite","User - Create User Tests","petstore.user.PostCreateUserTests","petstore.user.PostCreateUserTests","User_Post_CreateUser_Success_LongUsername","User_Post_CreateUser_Success_LongUsername",""
"passed","Fri May 15 13:51:00 UTC 2026","Fri May 15 13:51:01 UTC 2026","713","PetStore API Test Suite","Pet - Update Pet With Form Tests","petstore.pet.PostUpdatePetWithFormTests","petstore.pet.PostUpdatePetWithFormTests","Pet_Post_UpdatePetWithForm_Success_OnlyStatus","Pet_Post_UpdatePetWithForm_Success_OnlyStatus",""
